oldcode;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop_tot;men_tot;men_ecl_elec;men_ecl_group;men_ecl_solaire;men_ecl_lampe;men_ecl_bois;men_ecl_torche;men_ecl_autre
CI060302;Lacs;G3;Tiébissou;G301;Lomokankro;14988;2578;1707;1;34;8;3;825;0
CI060303;Lacs;G3;Tiébissou;G302;Molonou;23062;4647;2880;103;502;2;2;1158;0
CI060301;Lacs;G3;Tiébissou;G303;Tiébissou;65251;12465;10126;32;362;128;7;1776;34
CI060304;Lacs;G3;Tiébissou;G304;Yakpabo-Sakassou;13020;2475;1145;4;31;18;2;1241;34
CI060402;Lacs;G4;Toumodi;G401;Angoda;11819;2222;2025;0;14;3;0;179;1
CI060403;Lacs;G4;Toumodi;G402;Kokoumbo;34575;6764;5326;9;390;2;4;1030;3
CI060404;Lacs;G4;Toumodi;G403;Kpouèbo;33388;6758;3862;87;608;10;8;2176;7
CI060401;Lacs;G4;Toumodi;G404;Toumodi;88580;17809;16459;84;332;121;2;807;4
CI190103;Lacs;G5;Daoukro;G501;Daoukro;101136;23632;19226;55;895;45;23;3351;37
CI190104;Lacs;G5;Daoukro;G502;Ettrokro;22963;3696;1617;21;898;32;6;1120;2
CI190105;Lacs;G5;Daoukro;G503;N'Gattakro;11707;2800;1627;13;629;38;5;486;2
CI190107;Lacs;G5;Daoukro;G504;Samanza;12290;2093;1422;8;170;46;3;444;0
CI190202;Lacs;G6;M'Bahiakro;G601;Bonguéra;18301;2799;827;34;736;27;37;1133;5
CI190203;Lacs;G6;M'Bahiakro;G602;Kondossou;10311;1901;94;24;600;4;4;1171;4
CI190201;Lacs;G6;M'Bahiakro;G603;M'Bahiakro;49758;9904;5982;54;968;97;19;2781;3
CI190101;Lacs;G7;Ouellé;G701;Akpassanou;5693;1082;219;2;46;3;6;801;5
CI190102;Lacs;G7;Ouellé;G702;Ananda;13166;2304;1353;4;81;3;3;856;4
CI190106;Lacs;G7;Ouellé;G703;Ouellé;37641;8675;6019;27;277;60;4;2279;9
CI190302;Lacs;G8;Prikro;G801;Anianou;7956;1032;257;3;122;1;1;632;16
CI190303;Lacs;G8;Prikro;G802;Famienkro;17163;2372;1568;3;466;4;1;330;0
CI190304;Lacs;G8;Prikro;G803;Koffi-Amonkro;12933;2165;1772;2;105;13;1;272;0
CI190305;Lacs;G8;Prikro;G804;Nafana;13667;2179;984;1;349;2;9;834;0
CI190301;Lacs;G8;Prikro;G805;Prikro;43875;7782;5245;20;596;15;12;1867;27
CI270101;Lacs;G9;Bocanda;G901;Bengassou;24655;4078;1818;6;709;7;5;1531;2
CI270102;Lacs;G9;Bocanda;G902;Bocanda;59242;10525;6220;124;680;236;23;3239;3
CI270103;Lacs;G9;Bocanda;G903;Kouadioblékro;20455;3226;1282;9;339;7;3;1581;5
CI270104;Lacs;G9;Bocanda;G904;N'Zécrezessou;17118;3223;2071;2;274;98;4;773;1
CI270201;Lacs;GA;Dimbokro;GA01;Abigui;8665;1558;1059;25;17;4;0;444;9
CI270202;Lacs;GA;Dimbokro;GA02;Diangokro;16135;4072;2966;2;131;36;0;937;0
CI270203;Lacs;GA;Dimbokro;GA03;Dimbokro;70198;15377;14467;11;101;33;3;745;17
CI270204;Lacs;GA;Dimbokro;GA04;Nofou;7194;1516;804;1;92;1;0;617;1
CI270301;Lacs;GB;Kouassi-Kouassikro;GB01;Kouassi-Kouassikro;24421;3977;2227;11;407;25;10;1281;16
CI270302;Lacs;GB;Kouassi-Kouassikro;GB02;Mékro;6541;1073;537;29;32;0;0;475;0
CI250101;Lacs;GC;Arrah;GC01;Arrah;45625;9762;8653;43;348;120;3;593;2
CI250102;Lacs;GC;Arrah;GC02;Kotobi;37595;7538;5979;133;173;25;3;1224;1
CI250103;Lacs;GC;Arrah;GC03;Krégbé;20626;3898;3059;6;166;18;3;644;2
CI250201;Lacs;GD;Bongouanou;GD01;Andé;58287;13387;11231;55;168;165;13;1747;8
CI250202;Lacs;GD;Bongouanou;GD02;Assié-Koumassi;21962;3338;2784;9;72;66;1;378;28
CI250203;Lacs;GD;Bongouanou;GD03;Bongouanou;74281;16585;14783;34;284;60;44;1371;9
CI250204;Lacs;GD;Bongouanou;GD04;N'Guessankro;38629;7130;6340;33;71;25;5;654;2
CI250302;Lacs;GE;M'Batto;GE01;Anoumaba;22572;3925;2548;10;437;179;20;726;5
CI250303;Lacs;GE;M'Batto;GE02;Assahara;11495;1856;1651;3;44;1;4;153;0
CI250301;Lacs;GE;M'Batto;GE03;M'Batto;76129;12338;9796;15;546;98;4;1867;12
CI250304;Lacs;GE;M'Batto;GE04;Tiémélékro;32554;6668;5772;6;214;56;8;606;6
CI150101;Lagunes;H1;Dabou;H101;Dabou;138083;29086;28207;77;192;121;3;469;17
CI150102;Lagunes;H1;Dabou;H102;Lopou;35286;7491;5690;19;663;24;26;1059;10
CI150103;Lagunes;H1;Dabou;H103;Toupah;40212;9205;7640;31;744;100;154;531;5
CI150201;Lagunes;H2;Grand-Lahou;H201;Ahouanou;33939;5895;1481;33;3394;27;19;939;2
CI150202;Lagunes;H2;Grand-Lahou;H202;Bacanda;22926;3648;1660;18;1502;13;4;449;2
CI150203;Lagunes;H2;Grand-Lahou;H203;Ebonou;18552;3543;244;174;1702;145;12;1265;1
CI150204;Lagunes;H2;Grand-Lahou;H204;Grand Lahou;77479;15533;10794;864;2001;179;57;1631;7
CI150205;Lagunes;H2;Grand-Lahou;H205;Toukouzou;2935;648;285;3;100;38;7;214;1
CI150302;Lagunes;H3;Jacqueville;H301;Attoutou;30899;6784;4999;31;958;45;3;745;3
CI150301;Lagunes;H3;Jacqueville;H302;Jacqueville;49694;11327;9482;149;397;115;19;1161;4
CI030101;Lagunes;H4;Agboville;H401;Aboudé;28315;4129;2416;14;508;82;14;1013;82
CI030103;Lagunes;H4;Agboville;H402;Ananguié;18311;2805;2115;35;336;42;8;260;9
CI030102;Lagunes;H4;Agboville;H403;Agboville;135082;27333;25532;65;618;63;9;1039;7
CI030104;Lagunes;H4;Agboville;H404;Attobrou;25972;4008;2141;37;698;121;33;977;1
CI030105;Lagunes;H4;Agboville;H405;Azaguié;38066;8761;7890;63;490;32;25;258;3
CI030106;Lagunes;H4;Agboville;H406;Cechi;25967;3951;2898;13;500;9;1;517;13
CI030107;Lagunes;H4;Agboville;H407;Grand-Morié;25302;4026;2889;32;286;31;12;775;1
CI030108;Lagunes;H4;Agboville;H408;Guessiguié;26167;4585;3559;27;421;120;11;446;1
CI030109;Lagunes;H4;Agboville;H409;Loviguié;19771;3445;2983;8;123;66;1;264;0
CI030110;Lagunes;H4;Agboville;H410;Oress-Krobou;8611;1277;1157;2;29;6;1;82;0
CI030111;Lagunes;H4;Agboville;H411;Rubino;32775;5811;3659;47;1407;28;0;669;1
CI030202;Lagunes;H5;Sikensi;H501;Gomon;34865;5795;3441;59;1429;194;21;751;0
CI030201;Lagunes;H5;Sikensi;H502;Sikensi;91032;16715;14481;46;775;161;12;1232;8
CI030302;Lagunes;H6;Taabo;H601;Pacobo;19572;4269;2482;104;769;12;1;898;3
CI030301;Lagunes;H6;Taabo;H602;Taabo;57189;10485;7638;43;1245;62;11;1444;42
CI030402;Lagunes;H7;Tiassalé;H701;Gbolouville;42476;6430;3595;43;1635;43;6;1100;8
CI030403;Lagunes;H7;Tiassalé;H702;Morokro;55636;8158;3551;103;2151;102;90;2142;19
CI030404;Lagunes;H7;Tiassalé;H703;N'Douci;97194;17644;13291;373;2150;208;10;1604;8
CI030401;Lagunes;H7;Tiassalé;H704;Tiassalé;83648;19135;14262;43;2159;160;15;2470;26
CI240101;Lagunes;H8;Adzopé;H801;Adzopé;156488;25668;23649;49;447;160;17;1334;12
CI240102;Lagunes;H8;Adzopé;H802;Agou;31091;4555;4227;1;24;64;5;234;0
CI240103;Lagunes;H8;Adzopé;H803;Annepé;25367;2721;2494;21;89;28;1;87;1
CI240104;Lagunes;H8;Adzopé;H804;Assikoi;20899;2566;2306;91;53;62;5;49;0
CI240105;Lagunes;H8;Adzopé;H805;Bécédi-Brignan;22614;2750;2394;29;105;22;0;198;2
CI240106;Lagunes;H8;Adzopé;H806;Yakassé-Mé;27268;3668;3419;13;67;24;2;143;0
CI240201;Lagunes;H9;Akoupé;H901;Afféry;47109;7391;6081;19;320;10;3;958;0
CI240202;Lagunes;H9;Akoupé;H902;Akoupé;79065;11500;10408;31;198;45;7;810;1
CI240203;Lagunes;H9;Akoupé;H903;Bécouéfin;30525;5066;4332;42;148;43;3;494;4
CI240301;Lagunes;HA;Alépé;HA01;Aboisso-Comoé;33471;4074;2282;30;1488;18;5;249;2
CI240302;Lagunes;HA;Alépé;HA02;Alépé;60468;11141;10114;41;359;40;13;569;5
CI240303;Lagunes;HA;Alépé;HA03;Allosso;13860;2195;598;4;751;60;3;779;0
CI240304;Lagunes;HA;Alépé;HA04;Danguira;55413;8351;5685;64;994;161;13;1430;4
CI240305;Lagunes;HA;Alépé;HA05;Oghlwapo;17041;3154;2829;18;97;82;2;123;3
CI240402;Lagunes;HB;Yakassé-Attobrou;HB01;Abongoua;17497;2208;1592;2;230;2;2;377;3
CI240403;Lagunes;HB;Yakassé-Attobrou;HB02;Biéby;24178;3037;1787;437;288;14;19;492;0
CI240401;Lagunes;HB;Yakassé-Attobrou;HB03;Yakasse-Attobrou;64311;7999;6579;36;717;124;17;526;0
CI320101;Montagnes;I1;Biankouma;I101;Biankouma;71470;14505;10931;53;774;100;52;2592;3
CI320102;Montagnes;I1;Biankouma;I102;Blapleu;25371;5150;1736;58;2168;25;28;1128;7
CI320103;Montagnes;I1;Biankouma;I103;Gbangbégouiné;4132;1256;278;9;397;24;0;548;0
CI320104;Montagnes;I1;Biankouma;I104;Gbonné;54809;10246;1597;57;6065;109;38;2378;2
CI320105;Montagnes;I1;Biankouma;I105;Gouiné;21835;4582;19;21;2254;34;135;2080;39
CI320106;Montagnes;I1;Biankouma;I106;Kpata;9278;2127;646;39;502;17;11;908;4
CI320107;Montagnes;I1;Biankouma;I107;Santa;51819;10161;813;64;5652;75;27;3529;1
CI320201;Montagnes;I2;Danané;I201;Daleu;56653;10998;489;71;4671;329;80;5351;7
CI320202;Montagnes;I2;Danané;I202;Danané;131586;26004;16518;72;2417;342;46;6559;50
CI320203;Montagnes;I2;Danané;I203;Gbon-Houyé;19090;3522;736;12;685;158;9;1913;9
CI320204;Montagnes;I2;Danané;I204;Kouan-Houlé;36769;7056;1901;28;1356;64;14;3688;5
CI320205;Montagnes;I2;Danané;I205;Mahapleu;66898;13396;4403;119;4308;126;23;4415;2
CI320206;Montagnes;I2;Danané;I206;Seileu;23525;4083;1925;22;398;12;21;1703;2
CI320207;Montagnes;I2;Danané;I207;Zonneu;29491;5137;34;19;2451;163;23;2446;1
CI320302;Montagnes;I3;Man;I301;Bogouiné;21096;4021;2652;26;399;10;7;925;2
CI320303;Montagnes;I3;Man;I302;Fagnampleu;3149;707;550;0;15;0;0;141;1
CI320304;Montagnes;I3;Man;I303;Gbangbegouiné-Yati;25660;4960;3386;24;517;104;5;924;0
CI320305;Montagnes;I3;Man;I304;Logoualé;32854;6352;4484;90;877;31;10;857;3
CI320301;Montagnes;I3;Man;I305;Man;241969;49052;46681;176;595;184;11;1392;13
CI320306;Montagnes;I3;Man;I306;Podiagouiné;32607;6319;2923;14;1116;71;62;2124;9
CI320307;Montagnes;I3;Man;I307;Sandougou-Soba;7347;1860;415;3;377;114;1;950;0
CI320308;Montagnes;I3;Man;I308;Sangouiné;63521;12048;4937;58;4833;107;10;2036;67
CI320309;Montagnes;I3;Man;I309;Yapleu;11145;2000;1387;11;338;5;1;257;1
CI320310;Montagnes;I3;Man;I310;Zagoué;5822;1497;1179;1;59;57;1;200;0
CI320311;Montagnes;I3;Man;I311;Ziogouiné;15966;2880;1843;7;327;5;3;694;1
CI320401;Montagnes;I4;Sipilou;I401;Sipilou;41516;7826;2551;97;2132;9;23;3012;2
CI320402;Montagnes;I4;Sipilou;I402;Yorodougou;31593;6935;1967;136;2684;296;68;1783;1
CI320502;Montagnes;I5;Zouan-Hounien;I501;Banneu;20393;3271;708;67;897;31;6;1562;0
CI320503;Montagnes;I5;Zouan-Hounien;I502;Bin-Houyé;30796;5080;2580;27;466;64;5;1916;22
CI320504;Montagnes;I5;Zouan-Hounien;I503;Goulaleu;30250;4961;1527;25;1011;61;35;2302;0
CI320505;Montagnes;I5;Zouan-Hounien;I504;Téapleu;42814;7351;4240;13;547;21;11;2518;1
CI320506;Montagnes;I5;Zouan-Hounien;I505;Yelleu;15586;2516;889;29;298;19;4;1277;0
CI320501;Montagnes;I5;Zouan-Hounien;I506;Zouan Hounien;111099;20792;11747;101;2269;313;32;6314;16
CI090101;Montagnes;I6;Bloléquin;I601;Bloléquin;123133;24448;6059;400;11451;165;63;6304;6
CI090102;Montagnes;I6;Bloléquin;I602;Diboké;24758;5467;273;256;3585;9;15;1324;5
