oldcode;dis_code;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop;men
CI180207;J;Sassandra-Marahoue;J2;Issia;J207;Tapéguia;34004;5666
CI180302;J;Sassandra-Marahoue;J3;Vavoua;J301;Bazra-Nattis;67048;8326
CI180303;J;Sassandra-Marahoue;J3;Vavoua;J302;Dananon;36746;4679
CI180304;J;Sassandra-Marahoue;J3;Vavoua;J303;Dania;106612;14938
CI180305;J;Sassandra-Marahoue;J3;Vavoua;J304;Kétro-Bassam;24968;3062
CI180306;J;Sassandra-Marahoue;J3;Vavoua;J305;Seitifla;109252;14250
CI180301;J;Sassandra-Marahoue;J3;Vavoua;J306;Vavoua;132528;21222
CI180402;J;Sassandra-Marahoue;J4;Zoukougbeu;J401;Domangbeu;18183;2750
CI180403;J;Sassandra-Marahoue;J4;Zoukougbeu;J402;Grégbeu;26505;4702
CI180404;J;Sassandra-Marahoue;J4;Zoukougbeu;J403;Guéssabo;41931;7099
CI180401;J;Sassandra-Marahoue;J4;Zoukougbeu;J404;Zoukougbeu;59918;10448
CI230102;J;Sassandra-Marahoue;J5;Bonon;J501;Bonon;116871;18735
CI230107;J;Sassandra-Marahoue;J5;Bonon;J502;Zaguiéta;50525;6731
CI230101;J;Sassandra-Marahoue;J6;Bouaflé;J601;Bégbéssou;24476;5519
CI230103;J;Sassandra-Marahoue;J6;Bouaflé;J602;Bouaflé;213967;45210
CI230104;J;Sassandra-Marahoue;J6;Bouaflé;J603;N'Douffoukankro;20025;3575
CI230105;J;Sassandra-Marahoue;J6;Bouaflé;J604;Pakouabo;19597;4411
CI230106;J;Sassandra-Marahoue;J6;Bouaflé;J605;Tibéita;22239;4301
CI230302;J;Sassandra-Marahoue;J7;Gohitafla;J701;Gohitafla;46470;6249
CI230303;J;Sassandra-Marahoue;J7;Gohitafla;J702;Iriéfla;8406;1107
CI230305;J;Sassandra-Marahoue;J7;Gohitafla;J703;Maminigui;28495;4012
CI230202;J;Sassandra-Marahoue;J8;Sinfra;J801;Bazré;30562;5277
CI230203;J;Sassandra-Marahoue;J8;Sinfra;J802;Kononfla;55427;10195
CI230204;J;Sassandra-Marahoue;J8;Sinfra;J803;Kouétinfla;22028;4871
CI230201;J;Sassandra-Marahoue;J8;Sinfra;J804;Sinfra;137210;24635
CI230304;J;Sassandra-Marahoue;J9;Zuénoula;J901;Kanzra;36674;5605
