"lon";"lat";"duree";"groupe";"sexe";"age";"statut";"instr";"habitat";"tailmen";"tailmen_4";"enfmen";"enfmen_4";"sac_riz";"orig";"raison";"transport";"alim";"mines";"cmu";"cmu_utilise";"eau_autre";"eau_bouteille";"eau_forage";"eau_robinet"
-5,023254;7,697139;12,924916668733;"7.Transport";"Homme";"45+";"Marié ou concubinage";"Aucun";"Maison";8;"(4,8]";4;"(2,4]";3;"Bouaké";"Commerçant";"auto";"non";"5.Très positive";"non";NA;0;0;0;1
-5,024638;7,697616;7,2715833346049;"3.Eau";"Homme";"45+";"Marié ou concubinage";"Primaire";"Précaire";7;"(4,8]";6;"(4,8]";1;"Bouaké";"Commerçant";"taxi";"non";"3.Neutre";"non";NA;0;0;1;0
NA;NA;3,86380000114441;"2.Démographie";"Homme";"45+";"Marié ou concubinage";"Ecole coranique";"Maison";NA;NA;8;"(4,8]";2;"Bouaké";"Commerçant";"taxi-moto";"non";"3.Neutre";"oui";"oui";0;0;0;1
-5,025649;7,697615;5,69915000200272;"7.Transport";"Femme";"30-44";"Marié ou concubinage";"Secondaire";"Villa";3;"(0,4]";0;NA;1;"Bouaké";"Particulier";"taxi";"non";"1.Très négative";"oui";"non";0;0;1;0
-5,025326;7,697625;3,16158333222071;"3.Eau";"Femme";"18-29";"Célibataire";"Secondaire";"Maison";3;"(0,4]";0;NA;1;"Bouaké";"Commerçant";"taxi-moto";"non";"1.Très négative";"non";NA;0;0;1;1
-5,025468;7,697181;9,00593333244324;"4.Mines";"Homme";"45+";"Marié ou concubinage";"Primaire";"Maison";6;"(4,8]";3;"(2,4]";NA;"Bouaké";"Commerçant";"auto";"non";"4.Positive";"oui";"oui";0;0;0;1
-5,025413;7,697184;10,4327500025431;"3.Eau";"Homme";"45+";"Marié ou concubinage";"Primaire";"Villa";7;"(4,8]";3;"(2,4]";2;"Bouaké";"Grossiste";"auto";"non";"2.Négative";"non";NA;0;0;1;1
-5,023787;7,697033;16,9251333316167;"5.Santé";"Homme";"45+";"Marié ou concubinage";"Primaire";"Autre";25;"(16,30]";13;"(8,25]";6;"Bouaké";"Grossiste";"auto";"oui";"4.Positive";"non";NA;0;0;0;1
-5,025414;7,697172;12,7839333335559;"7.Transport";"Femme";"30-44";"Marié ou concubinage";"Primaire";"Précaire";4;"(0,4]";6;"(4,8]";1;"Bouaké";"Commerçant";"taxi-moto";"non";"2.Négative";"oui";"non";0;0;0;1
-5,025508;7,697135;9,35171666542689;"7.Transport";"Homme";"30-44";"Marié ou concubinage";"Aucun";"Maison";2;"(0,4]";0;NA;1;"Bouaké";"Transporteur";"taxi-moto";"non";NA;"non";NA;1;0;0;0
-5,023176;7,696659;17,9403333306313;"5.Santé";"Femme";"30-44";"Marié ou concubinage";"Aucun";"Maison";9;"(8,16]";4;"(2,4]";2;"Bouaké";"Autre";"taxi-moto";"non";"5.Très positive";"oui";"non";0;0;0;1
-5,024924;7,697504;4,25544999837875;"7.Transport";"Femme";"18-29";"Célibataire";"Aucun";"Précaire";6;"(4,8]";0;NA;1;"Bouaké";"Particulier";"taxi";"non";"2.Négative";"oui";"non";1;1;0;1
-5,023895;7,696762;16,1302166700363;"5.Santé";"Homme";"18-29";"Marié ou concubinage";"Secondaire";"Autre";30;"(16,30]";12;"(8,25]";6;"Bouaké";"Commerçant";"moto";"non";"1.Très négative";"non";NA;0;0;1;0
-5,025377;7,697147;18,3470333337784;"4.Mines";"Femme";"45+";"Marié ou concubinage";"Aucun";"Maison";2;"(0,4]";0;NA;1;"Bouaké";"Commerçant";"taxi-moto";"non";"1.Très négative";"oui";"non";0;1;0;0
NA;NA;6,95348333120346;NA;"Femme";"30-44";"Célibataire";"Primaire";"Maison";18;"(16,30]";10;"(8,25]";5;"Bouaké";"Commerçant";"taxi";"non";NA;"oui";"oui";0;1;0;1
-5,026432;7,699165;19,7274666666985;"1.Agriculture";"Femme";"45+";"Marié ou concubinage";"Secondaire";"Maison";10;"(8,16]";7;"(4,8]";2;"Bouaké";"Autre";"taxi";"oui";"1.Très négative";"oui";"oui";0;0;1;0
-5,025771;7,697633;7,18779999812444;"3.Eau";"Homme";"30-44";"Marié ou concubinage";"Secondaire";"Maison";4;"(0,4]";2;"(0,2]";1;"Bouaké";"Commerçant";"auto";"non";"3.Neutre";"oui";"non";0;0;1;0
